task_id,mode,classification,stop_reason,discovery_nanos,successful_search_rerun_nanos
sf.lean.VFA.03-MultisetCaseStudy.theorem.CaseStudies.SF.VFA.MultisetCaseStudy.sort_specifications_equivalent.prove,search,completed_discovery_failure,ambient_resource_limit,17177827042,
sf.lean.VFA.03-MultisetCaseStudy.theorem.CaseStudies.SF.VFA.MultisetCaseStudy.union_assoc.prove,committed,closed,other_or_unreported,44052816,41671119
sf.lean.VFA.03-MultisetCaseStudy.theorem.CaseStudies.SF.VFA.MultisetCaseStudy.union_assoc.prove,search,closed,other_or_unreported,42282423,41734626
sf.lean.VFA.03-MultisetCaseStudy.theorem.CaseStudies.SF.VFA.MultisetCaseStudy.union_comm.prove,committed,closed,other_or_unreported,30851097,31565256
sf.lean.VFA.03-MultisetCaseStudy.theorem.CaseStudies.SF.VFA.MultisetCaseStudy.union_comm.prove,search,closed,other_or_unreported,30805562,31889702
sf.lean.VFA.03-MultisetCaseStudy.theorem.CaseStudies.SF.VFA.MultisetCaseStudy.union_swap.prove,committed,closed,other_or_unreported,431988555,429652345
sf.lean.VFA.03-MultisetCaseStudy.theorem.CaseStudies.SF.VFA.MultisetCaseStudy.union_swap.prove,search,closed,other_or_unreported,431483613,440326194
sf.lean.VFA.04-BagPermCaseStudy.theorem.CaseStudies.SF.VFA.BagPermCaseStudy.bag_cons_inv.prove,committed,completed_discovery_failure,ambient_resource_limit,18106824678,
sf.lean.VFA.04-BagPermCaseStudy.theorem.CaseStudies.SF.VFA.BagPermCaseStudy.bag_cons_inv.prove,search,completed_discovery_failure,ambient_resource_limit,18482828285,
sf.lean.VFA.04-BagPermCaseStudy.theorem.CaseStudies.SF.VFA.BagPermCaseStudy.bag_eqv_cons.prove,committed,closed,other_or_unreported,100120807,120258555
sf.lean.VFA.04-BagPermCaseStudy.theorem.CaseStudies.SF.VFA.BagPermCaseStudy.bag_eqv_cons.prove,search,closed,other_or_unreported,276941366,273888316
sf.lean.VFA.04-BagPermCaseStudy.theorem.CaseStudies.SF.VFA.BagPermCaseStudy.bag_eqv_iff_perm.prove,committed,closed,other_or_unreported,270206978,180134805
sf.lean.VFA.04-BagPermCaseStudy.theorem.CaseStudies.SF.VFA.BagPermCaseStudy.bag_eqv_iff_perm.prove,search,closed,other_or_unreported,183317126,186928500
sf.lean.VFA.04-BagPermCaseStudy.theorem.CaseStudies.SF.VFA.BagPermCaseStudy.bag_eqv_refl.prove,committed,closed,other_or_unreported,10787628,13220247
sf.lean.VFA.04-BagPermCaseStudy.theorem.CaseStudies.SF.VFA.BagPermCaseStudy.bag_eqv_refl.prove,search,closed,other_or_unreported,10239073,13144008
sf.lean.VFA.04-BagPermCaseStudy.theorem.CaseStudies.SF.VFA.BagPermCaseStudy.bag_eqv_sym.prove,committed,closed,other_or_unreported,9235249,9059434
sf.lean.VFA.04-BagPermCaseStudy.theorem.CaseStudies.SF.VFA.BagPermCaseStudy.bag_eqv_sym.prove,search,closed,other_or_unreported,8990163,9222063
sf.lean.VFA.04-BagPermCaseStudy.theorem.CaseStudies.SF.VFA.BagPermCaseStudy.bag_eqv_trans.prove,committed,closed,other_or_unreported,10639696,12766061
sf.lean.VFA.04-BagPermCaseStudy.theorem.CaseStudies.SF.VFA.BagPermCaseStudy.bag_eqv_trans.prove,search,closed,other_or_unreported,10677800,10067767
